"filename", "language", "Markdown", "JavaScript", "Batch", "HTML", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\BUILD-SETUP.md", "Markdown", 154, 0, 0, 0, 0, 0, 0, 40, 194
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CHANGELOG.md", "Markdown", 110, 0, 0, 0, 0, 0, 0, 25, 135
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\COMPONENT-STRUCTURE.md", "Markdown", 247, 0, 0, 0, 0, 0, 0, 29, 276
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX-UPDATE.md", "Markdown", 168, 0, 0, 0, 0, 0, 0, 39, 207
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX.md", "Markdown", 194, 0, 0, 0, 0, 0, 0, 41, 235
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-FIX.md", "Markdown", 126, 0, 0, 0, 0, 0, 0, 17, 143
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CORE-WEB-VITALS-FIX.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 35, 169
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\POPUP-REFACTORING.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 29, 122
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\README.md", "Markdown", 237, 0, 0, 0, 0, 0, 0, 44, 281
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\REFACTORING-GUIDE.md", "Markdown", 412, 0, 0, 0, 0, 0, 0, 103, 515
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\SPA-DETECTION-FIX.md", "Markdown", 103, 0, 0, 0, 0, 0, 0, 21, 124
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\URL-CHANGE-BUG-FIX.md", "Markdown", 106, 0, 0, 0, 0, 0, 0, 38, 144
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\WEB-VITALS-FIX.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\animations.css", "CSS", 0, 0, 0, 0, 0, 31, 1, 4, 36
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\styles.css", "CSS", 0, 0, 0, 0, 0, 20, 2, 2, 24
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\direct-web-vitals.js", "JavaScript", 0, 285, 0, 0, 0, 0, 51, 57, 393
