Date : 2025-04-13 00:23:31
Directory : c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main
Total : 120 files,  19412 codes, 3044 comments, 2521 blanks, all 24977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         98 |     12,075 |      3,039 |      1,964 |     17,078 |
| JSON       |          3 |      4,788 |          0 |          3 |      4,791 |
| Markdown   |         15 |      2,460 |          0 |        541 |      3,001 |
| CSS        |          2 |         51 |          3 |          6 |         60 |
| Batch      |          1 |         23 |          0 |          5 |         28 |
| HTML       |          1 |         15 |          2 |          2 |         19 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        120 |     19,412 |      3,044 |      2,521 |     24,977 |
| . (Files)                                                                                                                         |         22 |      7,404 |         10 |        555 |      7,969 |
| css                                                                                                                               |          2 |         51 |          3 |          6 |         60 |
| js                                                                                                                                |         66 |      7,781 |      1,621 |      1,092 |     10,494 |
| js (Files)                                                                                                                        |          1 |         22 |         11 |          5 |         38 |
| js\lib                                                                                                                            |          5 |        752 |        121 |         91 |        964 |
| js\modules                                                                                                                        |         60 |      7,007 |      1,489 |        996 |      9,492 |
| js\modules (Files)                                                                                                                |          5 |        962 |        122 |        128 |      1,212 |
| js\modules\components                                                                                                             |         41 |      3,895 |        821 |        466 |      5,182 |
| js\modules\components (Files)                                                                                                     |         22 |      1,702 |        453 |        254 |      2,409 |
| js\modules\components\common                                                                                                      |          2 |         69 |         19 |          6 |         94 |
| js\modules\components\content                                                                                                     |          5 |        506 |         74 |         42 |        622 |
| js\modules\components\links                                                                                                       |          8 |      1,432 |        211 |        142 |      1,785 |
| js\modules\components\status                                                                                                      |          4 |        186 |         64 |         22 |        272 |
| js\modules\services                                                                                                               |          5 |      1,201 |        330 |        236 |      1,767 |
| js\modules\tabs                                                                                                                   |          9 |        949 |        216 |        166 |      1,331 |
| src                                                                                                                               |         30 |      4,176 |      1,410 |        868 |      6,454 |
| src\background                                                                                                                    |         17 |      2,217 |        858 |        515 |      3,590 |
| src\background (Files)                                                                                                            |          1 |         39 |         17 |         14 |         70 |
| src\background\controllers                                                                                                        |          9 |      1,341 |        508 |        316 |      2,165 |
| src\background\services                                                                                                           |          7 |        837 |        333 |        185 |      1,355 |
| src\content                                                                                                                       |          7 |      1,519 |        411 |        287 |      2,217 |
| src\content (Files)                                                                                                               |          2 |        176 |         68 |         55 |        299 |
| src\content\analyzers                                                                                                             |          1 |        212 |         53 |         30 |        295 |
| src\content\detectors                                                                                                             |          1 |        269 |        104 |         65 |        438 |
| src\content\extractors                                                                                                            |          1 |        302 |         63 |         38 |        403 |
| src\content\utils                                                                                                                 |          2 |        560 |        123 |         99 |        782 |
| src\shared                                                                                                                        |          6 |        440 |        141 |         66 |        647 |
| src\shared (Files)                                                                                                                |          1 |         70 |          1 |         10 |         81 |
| src\shared\constants                                                                                                              |          1 |          6 |          7 |          6 |         19 |
| src\shared\utils                                                                                                                  |          4 |        364 |        133 |         50 |        547 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\BUILD-SETUP.md                                          | Markdown   |        154 |          0 |         40 |        194 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CHANGELOG.md                                            | Markdown   |        110 |          0 |         25 |        135 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\COMPONENT-STRUCTURE.md                                  | Markdown   |        247 |          0 |         29 |        276 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX-UPDATE.md            | Markdown   |        168 |          0 |         39 |        207 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-COMPREHENSIVE-FIX.md                   | Markdown   |        194 |          0 |         41 |        235 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CONNECTION-ERROR-FIX.md                                 | Markdown   |        126 |          0 |         17 |        143 |
