"filename", "language", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CHANGELOG.md", "Markdown", 68, 0, 0, 15, 83
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\README.md", "Markdown", 19, 0, 0, 4, 23
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\SEO-SCORE-UPDATE.md", "Markdown", 83, 0, 0, 25, 108
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\STRUCTURE-LINKING-SCORE-UPDATE.md", "Markdown", 56, 0, 0, 24, 80
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\CoreWebVitalsDetail.js", "JavaScript", 0, 45, 2, 5, 52
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\HeadingStructure.js", "JavaScript", 0, 41, 12, 5, 58
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\MetricItem.js", "JavaScript", 0, 83, 3, 2, 88
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedInsights.js", "JavaScript", 0, 335, 32, 36, 403
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedOpportunities.js", "JavaScript", 0, 53, 9, 6, 68
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PageSpeedOpportunity.js", "JavaScript", 0, 43, 16, 9, 68
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceRecommendations.js", "JavaScript", 0, 25, 0, 0, 25
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceScoreCard.js", "JavaScript", 0, 51, 3, 1, 55
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\SeoScoreCard.js", "JavaScript", 0, 356, 52, 58, 466
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ServerResponseTime.js", "JavaScript", 0, 13, 4, 4, 21
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\ToggleSwitch.js", "JavaScript", 0, 51, 14, 9, 74
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageContentTab.js", "JavaScript", 0, 49, 34, 13, 96
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageStatusFilter.js", "JavaScript", 0, 71, 18, 12, 101
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageTable.js", "JavaScript", 0, 93, 23, 8, 124
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\TextContentTab.js", "JavaScript", 0, 3, 3, 1, 7
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\RefreshButton.js", "JavaScript", 0, 9, 5, 1, 15
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\performance-service.js", "JavaScript", 0, 213, 76, 52, 341
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\store.js", "JavaScript", 0, 6, 7, -1, 12
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\content-tab.js", "JavaScript", 0, 8, 2, 2, 12
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\performance-tab.js", "JavaScript", 0, 131, 28, 27, 186
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\message-controller.js", "JavaScript", 0, 93, 37, 20, 150
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\navigation-controller.js", "JavaScript", 0, 22, 5, 3, 30
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\spa-navigation-controller.js", "JavaScript", 0, 47, 1, -6, 42
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content-controller.js", "JavaScript", 0, 0, 2, 1, 3
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\detectors\spa-detector.js", "JavaScript", 0, -41, 13, 0, -28
"c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\utils\dom-utils.js", "JavaScript", 0, -107, -38, -19, -164
"Total", "-", 226, 1693, 363, 317, 2599
